2020/04/16 14:07:29 customer_id=10000056 kind=026 resultStatus=0
2020/04/16 14:07:29 customer_id=10000056 kind=283 resultStatus=0
2020/04/16 14:14:02 customer_id=10000057 kind=026 resultStatus=0
2020/04/16 14:14:02 customer_id=10000057 kind=283 resultStatus=0
2020/04/16 14:21:59 customer_id=10000058 kind=026 resultStatus=0
2020/04/16 14:21:59 customer_id=10000058 kind=283 resultStatus=0
2020/04/16 14:34:11 customer_id=10000059 kind=026 resultStatus=0
2020/04/16 14:34:11 customer_id=10000059 kind=283 resultStatus=0
2020/04/16 14:39:39 customer_id=10000060 kind=026 resultStatus=0
2020/04/16 14:39:39 customer_id=10000060 kind=283 resultStatus=0
2020/04/16 23:06:36 customer_id=10000062 kind=116 resultStatus=0
2020/04/16 23:06:36 customer_id=10000062 kind=283 resultStatus=0
2020/04/16 23:13:48 customer_id=10000062 kind=116 resultStatus=0
2020/04/16 23:13:48 customer_id=10000062 kind=283 resultStatus=1
2020/04/16 23:14:46 customer_id=10000062 kind=116 resultStatus=0
2020/04/16 23:14:46 customer_id=10000062 kind=283 resultStatus=0
2020/04/16 23:39:40 customer_id=10000062 running_id=1032805 kind=116 resultStatus=0
2020/04/16 23:39:40 customer_id=10000062 running_id=1032805 kind=283 resultStatus=1
2020/04/16 23:41:17 customer_id=10000062 running_id=1032805 kind=116 resultStatus=0
2020/04/16 23:41:17 customer_id=10000062 running_id=1032805 kind=283 resultStatus=1
2020/04/16 23:48:35 customer_id=10000062 running_id=1032810 kind=116 resultStatus=0
2020/04/16 23:48:35 customer_id=10000062 running_id=1032810 kind=283 resultStatus=0
2020/04/16 23:51:02 customer_id=10000062 running_id=1032812 kind=116 resultStatus=0
2020/04/16 23:51:03 customer_id=10000062 running_id=1032812 kind=283 resultStatus=0
2020/04/18 01:06:46 customer_id=10000062 running_id=1032801 kind=026 resultStatus=0
2020/04/18 01:06:46 customer_id=10000062 running_id=1032801 kind=283 resultStatus=0
2020/04/18 01:06:46 customer_id=10000062 running_id=1032807 kind=283 resultStatus=0
2020/04/18 01:06:46 customer_id=10000062 running_id=1032811 kind=283 resultStatus=0
2020/04/18 01:06:46 customer_id=10000062 running_id=1032847 kind=283 resultStatus=0
2020/04/18 01:06:46 customer_id=10000062 running_id=1032848 kind=283 resultStatus=0
2020/04/18 01:35:18 customer_id=10000063 running_id=1032850 kind=116 resultStatus=0
2020/04/18 01:35:18 customer_id=10000063 running_id=1032850 kind=283 resultStatus=0
2020/04/18 01:40:29 customer_id=10000063 running_id=1032802 kind=026 resultStatus=0
2020/04/18 01:40:29 customer_id=10000063 running_id=1032802 kind=283 resultStatus=0
2020/04/18 01:40:30 customer_id=10000063 running_id=1032849 kind=283 resultStatus=0
2020/04/18 01:40:30 customer_id=10000063 running_id=1032851 kind=283 resultStatus=0
2020/04/18 01:40:30 customer_id=10000063 running_id=1032852 kind=283 resultStatus=0
2020/04/18 01:40:30 customer_id=10000063 running_id=1032853 kind=283 resultStatus=0
2020/04/19 04:03:11 customer_id=10000064 running_id=1032855 kind=116 resultStatus=0
2020/04/19 04:03:11 customer_id=10000064 running_id=1032855 kind=283 resultStatus=0
2020/04/19 04:04:53 customer_id=10000064 running_id=1032856 kind=116 resultStatus=0
2020/04/19 04:04:53 customer_id=10000064 running_id=1032856 kind=283 resultStatus=0
2020/04/19 04:06:21 customer_id=10000064 running_id=1032857 kind=116 resultStatus=0
2020/04/19 04:06:21 customer_id=10000064 running_id=1032857 kind=283 resultStatus=0
2020/04/19 04:06:26 customer_id=10000064 running_id=1032858 kind=116 resultStatus=0
2020/04/19 04:06:26 customer_id=10000064 running_id=1032858 kind=283 resultStatus=0
2020/04/19 11:10:15 customer_id=10000064 running_id=1032859 kind=116 resultStatus=0
2020/04/19 11:10:15 customer_id=10000064 running_id=1032859 kind=283 resultStatus=0
2020/04/19 11:10:24 customer_id=10000064 running_id=1032860 kind=116 resultStatus=0
2020/04/19 11:10:24 customer_id=10000064 running_id=1032860 kind=283 resultStatus=0
2020/04/19 11:37:55 customer_id=10000064 running_id=1032861 kind=116 resultStatus=0
2020/04/19 11:37:55 customer_id=10000064 running_id=1032861 kind=283 resultStatus=0
